time,X1,X2,X3,SD1,SD2,SD3
323.68,-19807601093451.6,15982658.0034678,-10.5499943104447,893558979651.518,168.110713936895,0.0379707378782727
217.68,10016186038717.3,16061901.5682216,-8.62026524074187,881787136492.849,189.792570631053,0.0379707378782727
179.12,9236119319226.02,16061909.3650356,-8.5985025694045,901669361668.043,166.043429728708,0.0379707378782727
403.52,-14516257139944.9,15995717.5305145,-10.1939856610697,810703534678.534,181.045002662103,0.0379707378782727
297.12,17624858056283.5,16041636.1730847,-7.64415776899244,843112990470.41,169.679181749626,0.0379707378782727
246.08,37101453826948.5,15964465.2480125,-4.68361598570631,846574794470.173,181.880610549508,0.0379707378782727
347.52,11605735564716.9,16060449.9262689,-8.52501170960553,828726012559.937,168.095808815625,0.0379707378782727
490.88,8774056909713.53,16061976.1352055,-8.65521946779175,815851182517.186,158.935945318166,0.0379707378782727
247.6,10113925893348.4,16061236.8928881,-8.6149223169306,772179384247.89,174.202116904621,0.0379707378782727
111.76,9428755080533.57,16061973.6296487,-8.66122100183221,819658026345.548,167.779060664962,0.0379707378782727
15.92,35959128203513.6,15953466.6443621,-4.6888742582096,832343135773.31,172.534346849095,0.0379707378782727
17.04,19463329334991.9,16036620.9654744,-7.34753639924481,834956311635.635,167.476346122598,0.0379707378782727
232.24,9577781662213.66,16061986.3367727,-8.57337326280736,833514930433.898,173.477175497585,0.0379707378782727
253.76,-18471912417784.4,15976865.3965793,-10.7572989677493,873278247309.532,165.795134586595,0.0379707378782727
381.28,9954435376189.79,16061833.1551136,-8.63754432703839,772213179368.99,163.917427948735,0.0379707378782727
181.04,10145238523619.4,16061827.6466612,-8.59544030581825,757733217431.668,170.526935116287,0.0379707378782727
297.44,12013928037916.2,16058571.415616,-8.4251612052859,816449426672.885,174.808412927546,0.0379707378782727
84.48,-12255025847804.7,15934640.6290395,-9.95534324109704,832324723849.072,158.497847940684,0.0379707378782727
374.88,2364225530760.19,15926270.0585085,-8.35376613815631,793605113497.855,171.79244146819,0.0379707378782727
115.12,11782504229944.7,15923119.9444061,-7.0387321857766,836948611205.631,158.281808565646,0.0379707378782727
303.44,-12800743880647.6,16003147.8525339,-10.1548224268667,858919313983.545,166.730791612032,0.0379707378782727
172.32,10412196157401.2,16061866.3162254,-8.57888470649024,826162217938.908,191.600230320237,0.0379707378782727
455.52,25735712278879.5,15935789.1493731,-5.42289059628475,798367262890.098,173.689757810137,0.0379707378782727
471.52,9029691446976.91,16061897.0024114,-8.64528804581658,855516304788.093,181.394670725029,0.0379707378782727
109.84,10718766512858.8,16062123.2087724,-8.67590609887354,843243080803.124,154.92456310684,0.0379707378782727
114.16,-19704605782841.5,15949630.9249728,-10.6702264117376,789360557716.662,154.107596700428,0.0379707378782727
350.56,9293219516849.54,16061765.5408071,-8.52863242268365,870081526530.706,166.0243487744,0.0379707378782727
351.6,9678069491176.68,16061701.6263239,-8.67382040543526,863115349576.574,166.093819616725,0.0379707378782727
351.2,9228145383365.48,16061968.2851925,-8.67888733782041,848232655716.93,164.659024103624,0.0379707378782727
461.68,8330410622014.26,16061867.1995526,-8.63116034336277,791374482817.033,162.050184095446,0.0379707378782727
