time,X1,X2,X3,SD1,SD2,SD3
457.76,9198607375521.22,16062027.8707831,-8.63053797116194,844954711506.308,173.766814906516,0.0379707378782727
335.68,30345478509384.3,15943068.6687669,-4.90228330757351,791049342275.573,166.91147303326,0.0379707378782727
443.28,-9995657134177.86,16013123.399398,-9.88987622462451,819644253725.375,165.132897975002,0.0379707378782727
198.24,10440999406728.8,16062211.5530707,-8.60511026039485,765195279595.772,158.366672602608,0.0379707378782727
100.4,10648829617682.6,16061726.8474175,-8.55082979591156,792835189953.683,182.58481025011,0.0379707378782727
444.4,-12966557380303.2,15937863.3720313,-10.2880888601873,792406623250.306,154.698991209905,0.0379707378782727
6,36594523071280,15960222.1527219,-4.75763613147037,808679049013.833,172.644158328158,0.0379707378782727
191.12,10508067562705.7,16061933.9895354,-8.63478243833453,790610055291.937,183.376583702151,0.0379707378782727
163.04,-3601267287107.24,16030934.7273981,-9.32631947994434,829825837126.58,160.942476681222,0.0379707378782727
19.2,11260985531409.1,16062065.4713169,-8.66475508393613,867806648203.961,180.560789679216,0.0379707378782727
405.6,27603965984804.2,15937850.8645766,-5.23636519622686,754227374703.926,151.607764186697,0.0379707378782727
184.72,-3712481214384.15,15927167.902481,-9.08270983136354,787692989622.124,173.515285755587,0.0379707378782727
22.8,3609949628488.74,16046598.0926121,-8.91956882377669,728415972124.059,167.009866300005,0.0379707378782727
422.64,6560422360843.26,16054604.7622398,-8.74993649857017,767493498805.274,172.441370768711,0.0379707378782727
209.52,9268528001727.04,16061960.4063354,-8.5253296258714,842488755863.631,169.287740921991,0.0379707378782727
492.72,7427804958111.6,16053205.4030773,-8.81351726245397,789827282584.764,170.59231812469,0.0379707378782727
253.36,-12817660255637.1,16007456.3723468,-9.97585111495915,833463345509.481,164.356649501053,0.0379707378782727
189.44,9150019979396.97,16062115.237997,-8.58207927642026,793085476759.281,163.074957455349,0.0379707378782727
445.76,34810530112777.7,15944215.0558319,-4.76780311213936,777627043186.894,150.417644915695,0.0379707378782727
162.88,1627013585309.63,16041502.7486271,-9.04689400518695,835256505434.142,161.300135086345,0.0379707378782727
108.16,9990013199191.89,16061985.9539618,-8.653328513865,816426559842.778,163.674530464408,0.0379707378782727
130.32,10222191031732.3,16062097.6470128,-8.61809797558728,818341639036.659,171.604239391994,0.0379707378782727
337.28,14030798375723.5,16053060.0037,-8.05420920782038,783495296102.677,164.537434445025,0.0379707378782727
305.28,18207831880366.7,15927023.3629282,-6.26909996294799,797123058354.806,160.427645914744,0.0379707378782727
166.16,37191332693891.2,15970224.7645742,-4.78500188189921,845966378340.72,168.064350621554,0.0379707378782727
288.96,11807631242337,16062215.9603347,-8.62600892600753,817293215150.359,183.186208025637,0.0379707378782727
468,10458702348592.4,16062017.6869196,-8.59471997046755,862765908761.146,158.057499288631,0.0379707378782727
216.24,35416938008739,15977335.6251817,-5.07854432204911,837727239552.349,163.482492963536,0.0379707378782727
250.48,8901023018703.41,16061581.288784,-8.60180691976077,836855500637.023,161.542901069604,0.0379707378782727
202.08,9207060510992.56,16062203.6699306,-8.6364417312196,802497308830.237,157.352779102717,0.0379707378782727
268.08,10709700034461.5,16061946.4789632,-8.63101835344899,863213793207.881,150.817132495599,0.0379707378782727
